Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv0467,icl1,557527,1287,isocitrate lyase,264,Rv0467.fasta
Rv0468,fadB2,558895,861,3-hydroxybutyryl-CoA dehydrogenase,255,Rv0468.fasta
Rv0469,umaA,559888,861,mycolic acid synthase UmaA,327,Rv0469.fasta
Rv0470c,pcaA,560848,864,cyclopropane mycolic acid synthase,209,Rv0470c.fasta
Rv0471c,,562225,489,hypothetical protein,172,Rv0471c.fasta
Rv0472c,,562723,705,HTH-type transcriptional regulator,174,Rv0472c.fasta
Rv0473,,563564,1371,transmembrane protein,354,Rv0473.fasta
Rv0474,,565021,423,HTH-type transcriptional regulator,89,Rv0474.fasta
Rv0475,hbhA,565797,600,heparin binding hemagglutinin HbhA,166,Rv0475.fasta
Rv0476,,566508,264,transmembrane protein,67,Rv0476.fasta
Rv0477,,566776,447,hypothetical protein,155,Rv0477.fasta
Rv0478,deoC,567222,675,deoxyribose-phosphate aldolase,172,Rv0478.fasta
Rv0479c,,567921,1047,membrane protein,288,Rv0479c.fasta
Rv0480c,,568964,843,amidohydrolase,261,Rv0480c.fasta
Rv0481c,,569988,525,hypothetical protein,145,Rv0481c.fasta
Rv0482,murB,570539,1110,UDP-N-acetylenolpyruvoylglucosamine reductase,222,Rv0482.fasta
Rv0483,lprQ,571710,1356,lipoprotein LprQ,338,Rv0483.fasta
Rv0485,,573984,1317,transcriptional regulator,334,Rv0485.fasta
Rv0486,mshA,575348,1443,D-inositol 3-phosphate glycosyltransferase,408,Rv0486.fasta
Rv0487,,576787,552,hypothetical protein,162,Rv0487.fasta
Rv0488,,577664,606,amino-acid transporter,162,Rv0488.fasta
Rv0489,gpm1,578426,750,2,,
Rv0490,senX3,579349,1233,two component sensor histidine kinase SenX3,270,Rv0490.fasta
Rv0491,regX3,580809,684,two component sensory transduction protein RegX,112,Rv0491.fasta
Rv0492A,,583375,330,hypothetical protein,74,Rv0492A.fasta
Rv0492c,,581489,1890,GMC-type oxidoreductase,582,Rv0492c.fasta
Rv0493c,,583701,990,hypothetical protein,379,Rv0493c.fasta
Rv0494,,584695,729,HTH-type transcriptional regulator,180,Rv0494.fasta
Rv0495c,,585424,891,hypothetical protein,218,Rv0495c.fasta
Rv0496,,586394,987,hypothetical protein,202,Rv0496.fasta
Rv0497,,587377,933,transmembrane protein,282,Rv0497.fasta
Rv0498,,588325,843,hypothetical protein,168,Rv0498.fasta
Rv0499,,589183,876,hypothetical protein,249,Rv0499.fasta
Rv0500,proC,590083,888,pyrroline-5-carboxylate reductase,206,Rv0500.fasta
Rv0500A,,591111,237,DNA-binding protein,50,Rv0500A.fasta
Rv0501,galE2,591654,1131,UDP-glucose 4-epimerase GalE,312,Rv0501.fasta
Rv0502,,592791,1077,hypothetical protein,273,Rv0502.fasta
Rv0503c,cmaA2,593871,909,cyclopropane mycolic acid synthase,183,Rv0503c.fasta
Rv0504c,,594802,501,hypothetical protein,108,Rv0504c.fasta
Rv0505c,serB1,595464,1122,phosphoserine phosphatase SerB,253,Rv0505c.fasta
Rv0506,mmpS2,596759,444,membrane protein MmpS2,129,Rv0506.fasta
Rv0507,mmpL2,597199,2907,transmembrane transport protein MmpL2,932,Rv0507.fasta
Rv0509,hemA,600441,1407,glutamyl-tRNA reductase,353,Rv0509.fasta
Rv0510,hemC,601857,930,porphobilinogen deaminase,229,Rv0510.fasta
Rv0511,hemD,602819,1698,uroporphyrin-III C-methyltransferase,385,Rv0511.fasta
Rv0512,hemB,604602,990,delta-aminolevulinic acid dehydratase,252,Rv0512.fasta
Rv0513,,605604,549,transmembrane protein,138,Rv0513.fasta
Rv0514,,606149,300,transmembrane protein,100,Rv0514.fasta
Rv0516c,,608059,477,anti-anti-sigma factor,135,Rv0516c.fasta
Rv0517,,608746,1311,acyltransferase,369,Rv0517.fasta
Rv0518,,610188,696,hypothetical protein,168,Rv0518.fasta
Rv0519c,,611172,903,membrane protein,246,Rv0519c.fasta
Rv0522,gabP,613038,1305,GABA permease GabP,344,Rv0522.fasta
Rv0524,hemL,614835,1389,glutamate-1-semialdehyde 2,,
Rv0525,,616223,609,hypothetical protein,181,Rv0525.fasta
Rv0526,,616846,651,thioredoxin,187,Rv0526.fasta
Rv0527,ccdA,617493,780,cytochrome C-type biogenesis protein CcdA,181,Rv0527.fasta
Rv0528,,618305,1590,transmembrane protein,401,Rv0528.fasta
Rv0529,ccsA,619891,975,cytochrome C-type biogenesis protein CcsA,265,Rv0529.fasta
Rv0530,,620907,1218,hypothetical protein,415,Rv0530.fasta
Rv0530A,,622121,162,hypothetical protein,50,Rv0530A.fasta
Rv0531,,622329,318,membrane protein,85,Rv0531.fasta
Rv0534c,menA,625562,879,1,,
Rv0535,,626457,795,S-methyl-5'-thioadenosine phosphorylase,199,Rv0535.fasta
Rv0536,galE3,627248,1041,UDP-glucose 4-epimerase GalE,270,Rv0536.fasta
Rv0537c,,628298,1434,integral membrane protein,437,Rv0537c.fasta
Rv0538,,630040,1647,membrane protein,651,Rv0538.fasta
Rv0539,,631743,633,dolichyl-phosphate sugar synthase,194,Rv0539.fasta
Rv0540,,632372,663,hypothetical protein,153,Rv0540.fasta
Rv0541c,,633055,1350,integral membrane protein,373,Rv0541c.fasta
Rv0542c,menE,634416,1089,2-succinylbenzoic acid--CoA ligase,258,Rv0542c.fasta
Rv0543c,,635573,303,hypothetical protein,84,Rv0543c.fasta
Rv0544c,,635935,279,transmembrane protein,90,Rv0544c.fasta
Rv0545c,pitA,636210,1254,low-affinity inorganic phosphate transporter,366,Rv0545c.fasta
Rv0546c,,637583,387,hypothetical protein,115,Rv0546c.fasta
Rv0547c,,638032,885,oxidoreductase,255,Rv0547c.fasta
Rv0548c,menB,639012,945,1,,
Rv0549c,vapC3,640228,414,ribonuclease VapC3,105,Rv0549c.fasta
Rv0550c,vapB3,640638,267,antitoxin VapB3,69,Rv0550c.fasta
Rv0551c,fadD8,641096,1716,fatty-acid--CoA ligase FadD8,483,Rv0551c.fasta
Rv0552,,642889,1605,hypothetical protein,432,Rv0552.fasta
Rv0553,menC,644490,981,muconate cycloisomerase,270,Rv0553.fasta
Rv0554,bpoC,645467,789,non-heme bromoperoxidase BpoC,166,Rv0554.fasta
Rv0555,menD,646298,1665,bifunctional 2-succinyl-6-hydroxy-2,,
Rv0556,,647959,516,transmembrane protein,123,Rv0556.fasta
Rv0557,mgtA,648536,1137,GDP-mannose-dependent alpha-mannosyltransferase,372,Rv0557.fasta
Rv0558,menH,649689,705,demethylmenaquinone methyltransferase,177,Rv0558.fasta
Rv0559c,,650407,339,hypothetical protein,94,Rv0559c.fasta
Rv0560c,,650779,726,benzoquinone methyltransferase,225,Rv0560c.fasta
Rv0561c,,651529,1227,oxidoreductase,263,Rv0561c.fasta
Rv0562,grcC1,652771,1008,polyprenyl-diphosphate synthase GrcC,212,Rv0562.fasta
Rv0563,htpX,653879,861,protease HtpX,229,Rv0563.fasta
Rv0564c,gpdA1,654924,1026,glycerol-3-phosphate dehydrogenase,302,Rv0564c.fasta
Rv0565c,,656010,1461,monooxygenase,523,Rv0565c.fasta
Rv0566c,,657548,492,hypothetical protein,129,Rv0566c.fasta
Rv0567,,658321,1020,methyltransferase/methylase,295,Rv0567.fasta
Rv0568,cyp135B1,659450,1419,cytochrome P450 Cyp135B1,404,Rv0568.fasta
Rv0569,,661003,267,hypothetical protein,88,Rv0569.fasta
Rv0571c,,663487,1332,hypothetical protein,363,Rv0571c.fasta
Rv0572c,,665042,342,hypothetical protein,108,Rv0572c.fasta
Rv0573c,pncB2,665851,1392,nicotinic acid phosphoribosyltransferase PncB2,375,Rv0573c.fasta
Rv0574c,,667252,1143,hypothetical protein,296,Rv0574c.fasta
Rv0575c,,668579,1167,oxidoreductase,353,Rv0575c.fasta
Rv0577,TB27.3,671166,786,hypothetical protein,241,Rv0577.fasta
Rv0579,,676238,759,hypothetical protein,242,Rv0579.fasta
Rv0580c,,677125,492,hypothetical protein,145,Rv0580c.fasta
Rv0581,vapB26,677710,216,antitoxin VapB26,75,Rv0581.fasta
Rv0582,vapC26,677922,408,ribonuclease VapC26,135,Rv0582.fasta
Rv0583c,lpqN,678389,687,lipoprotein LpqN,197,Rv0583c.fasta
Rv0584,,679229,2634,glycosidase,770,Rv0584.fasta
Rv0585c,,681885,2388,integral membrane protein,663,Rv0585c.fasta
Rv0586,mce2R,684410,723,HTH-type transcriptional regulator Mce2R,200,Rv0586.fasta
Rv0587,yrbE2A,685129,798,hypothetical protein,250,Rv0587.fasta
Rv0588,,685928,888,hypothetical protein,318,Rv0588.fasta
Rv0591,mce2C,689059,1446,Mce family protein Mce2C,510,Rv0591.fasta
Rv0592,mce2D,690501,1527,Mce family protein Mce2D,353,Rv0592.fasta
Rv0593,lprL,692024,1209,Mce family lipoprotein LprL,315,Rv0593.fasta
Rv0594,mce2F,693237,1551,Mce family protein Mce2F,464,Rv0594.fasta
Rv0595c,vapC4,694839,393,ribonuclease VapC4,107,Rv0595c.fasta
Rv0596c,vapB4,695228,258,antitoxin VapB4,71,Rv0596c.fasta
Rv0597c,,695668,1236,hypothetical protein,332,Rv0597c.fasta
Rv0598c,vapC27,697154,414,ribonuclease VapC27,116,Rv0598c.fasta
Rv0599c,vapB27,697564,237,antitoxin VapB27,58,Rv0599c.fasta
Rv0600c,,697904,507,two component sensor kinase HK1,157,Rv0600c.fasta
Rv0608,vapB28,703244,246,antitoxin VapB28,52,Rv0608.fasta
Rv0609,vapC28,703486,402,ribonuclease VapC28,127,Rv0609.fasta
Rv0610c,,704752,1158,hypothetical protein,380,Rv0610c.fasta
Rv0611c,,705961,222,hypothetical protein,71,Rv0611c.fasta
Rv0612,,706324,606,hypothetical protein,222,Rv0612.fasta
Rv0615,,710345,243,integral membrane protein,81,Rv0615.fasta
Rv0616A,vapB29,710782,228,antitoxin VapB29,85,Rv0616A.fasta
Rv0617,vapC29,711006,402,ribonuclease VapC29,132,Rv0617.fasta
Rv0620,galK,712716,1092,galactokinase,387,Rv0620.fasta
Rv0625c,,717153,741,transmembrane protein,236,Rv0625c.fasta
Rv0628c,,718761,1152,hypothetical protein,452,Rv0628c.fasta
Rv0629c,recD,720005,1728,exonuclease V subunit alpha RecD,499,Rv0629c.fasta
Rv0630c,recB,721729,3285,exonuclease V subunit beta RecB,868,Rv0630c.fasta
Rv0631c,recC,725013,3294,exonuclease V subunit gamma RecC,915,Rv0631c.fasta
Rv0632c,echA3,728583,696,enoyl-CoA hydratase EchA3,162,Rv0632c.fasta
Rv0633c,,729327,840,hypothetical protein,254,Rv0633c.fasta
Rv0634A,,731113,252,hypothetical protein,87,Rv0634A.fasta
Rv0634B,rpmG2,731712,168,50S ribosomal protein L33,67,Rv0634B.fasta
Rv0634c,,730320,714,glyoxalase II,160,Rv0634c.fasta
Rv0635,hadA,731930,477,(3R)-hydroxyacyl-ACP dehydratase subunit HadA,110,Rv0635.fasta
Rv0637,hadC,732825,501,(3R)-hydroxyacyl-ACP dehydratase subunit HadC,125,Rv0637.fasta
Rv0638,secE1,733737,486,preprotein translocase SecE,149,Rv0638.fasta
Rv0639,nusG,734254,717,transcription termination/antitermination protein NusG,185,Rv0639.fasta
Rv0640,rplK,735022,429,50S ribosomal protein L11,112,Rv0640.fasta
Rv0641,rplA,735517,708,50S ribosomal protein L1,201,Rv0641.fasta
Rv0642c,mmaA4,736298,906,hydroxymycolate synthase MmaA4,192,Rv0642c.fasta
Rv0643c,mmaA3,737268,882,methoxy mycolic acid synthase MmaA3,264,Rv0643c.fasta
Rv0644c,mmaA2,738297,864,cyclopropane mycolic acid synthase MmaA2,171,Rv0644c.fasta
Rv0645c,mmaA1,739327,861,mycolic acid methyltransferase MmaA1,172,Rv0645c.fasta
Rv0646c,lipG,740234,906,lipase/esterase LipG,255,Rv0646c.fasta
Rv0648,,742719,3648,alpha-mannosidase,1084,Rv0648.fasta
Rv0651,rplJ,748276,537,50S ribosomal protein L10,140,Rv0651.fasta
Rv0653c,,749234,696,transcriptional regulator,165,Rv0653c.fasta
Rv0654,,750000,1506,carotenoid cleavage oxygenase,421,Rv0654.fasta
Rv0655,mkl,751517,1080,ribonucleotide ABC transporter ATP-binding protein,254,Rv0655.fasta
Rv0656c,vapC6,752984,384,ribonuclease VapC6,123,Rv0656c.fasta
Rv0657c,vapB6,753462,156,antitoxin VapB6,43,Rv0657c.fasta
Rv0658c,,753693,717,integral membrane protein,209,Rv0658c.fasta
Rv0659c,mazF2,754685,309,toxin MazF2,100,Rv0659c.fasta
Rv0661c,vapC7,755335,438,ribonuclease VapC7,143,Rv0661c.fasta
Rv0662c,vapB7,755769,255,antitoxin VapB7,74,Rv0662c.fasta
Rv0663,atsD,756137,2364,arylsulfatase AtsD,717,Rv0663.fasta
Rv0664,vapB8,758532,273,antitoxin VapB8,82,Rv0664.fasta
Rv0665,vapC8,758801,339,ribonuclease VapC8,98,Rv0665.fasta
Rv0666,,759136,174,membrane protein,49,Rv0666.fasta
Rv0667,rpoB,759807,3519,DNA-directed RNA polymerase subunit beta,1713,Rv0667.fasta
Rv0668,rpoC,763370,3951,DNA-directed RNA polymerase subunit beta',1441,Rv0668.fasta
Rv0669c,,767684,1914,neutral ceramidase,562,Rv0669c.fasta
Rv0670,end,769792,759,endonuclease IV,193,Rv0670.fasta
Rv0671,lpqP,770582,843,lipoprotein LpqP,240,Rv0671.fasta
Rv0672,fadE8,771484,1629,acyl-CoA dehydrogenase FadE8,463,Rv0672.fasta
Rv0673,echA4,773123,939,enoyl-CoA hydratase EchA4,309,Rv0673.fasta
Rv0674,,774064,723,hypothetical protein,200,Rv0674.fasta
Rv0675,echA5,774783,792,enoyl-CoA hydratase EchA5,258,Rv0675.fasta
Rv0677c,mmpS5,778477,429,membrane protein MmpS5,132,Rv0677c.fasta
Rv0678,,778990,498,hypothetical protein,203,Rv0678.fasta
Rv0679c,,779543,498,hypothetical protein,147,Rv0679c.fasta
Rv0680c,,780042,375,transmembrane protein,88,Rv0680c.fasta
Rv0681,,780721,591,transcriptional regulator,173,Rv0681.fasta
Rv0682,rpsL,781560,375,30S ribosomal protein S12,142,Rv0682.fasta
Rv0683,rpsG,781934,471,30S ribosomal protein S7,123,Rv0683.fasta
Rv0684,fusA1,782485,2106,elongation factor G,415,Rv0684.fasta
Rv0685,tuf,784821,1191,elongation factor Tu,236,Rv0685.fasta
Rv0686,,786149,798,membrane protein,234,Rv0686.fasta
Rv0687,,787099,828,NAD-dependent oxidoreductase,208,Rv0687.fasta
Rv0688,,787940,1221,ferredoxin reductase,381,Rv0688.fasta
Rv0689c,,789157,255,hypothetical protein,90,Rv0689c.fasta
Rv0690c,,790024,1050,hypothetical protein,263,Rv0690c.fasta
Rv0691c,,791070,597,mycofactocin biosynthesis transcriptional regulator MftR,158,Rv0691c.fasta
Rv0692,,791831,330,mycofactocin system protein MftB,89,Rv0692.fasta
Rv0693,,792157,1176,mycofactocin radical SAM maturase MftC,296,Rv0693.fasta
Rv0694,,793335,1191,mycofactocin system heme/flavin oxidoreductase MftD,304,Rv0694.fasta
Rv0695,,794715,756,mycofactocin system creatinine amidohydrolase family protein MftE,176,Rv0695.fasta
Rv0696,,795519,1413,mycofactocin biosynthesis glycosyltransferase MftF,363,Rv0696.fasta
Rv0697,,796933,1440,dehydrogenase,354,Rv0697.fasta
Rv0700,rpsJ,800487,306,30S ribosomal protein S10,91,Rv0700.fasta
Rv0701,rplC,800809,654,50S ribosomal protein L3,149,Rv0701.fasta
Rv0702,rplD,801462,672,50S ribosomal protein L4,149,Rv0702.fasta
Rv0703,rplW,802133,303,50S ribosomal protein L23,75,Rv0703.fasta
Rv0704,rplB,802528,843,50S ribosomal protein L2,190,Rv0704.fasta
Rv0705,rpsS,803411,282,30S ribosomal protein S19,87,Rv0705.fasta
Rv0706,rplV,803689,594,50S ribosomal protein L22,167,Rv0706.fasta
Rv0707,rpsC,804282,825,30S ribosomal protein S3,181,Rv0707.fasta
Rv0708,rplP,805110,417,50S ribosomal protein L16,103,Rv0708.fasta
Rv0709,rpmC,805526,234,50S ribosomal protein L29,60,Rv0709.fasta
Rv0710,rpsQ,805756,411,30S ribosomal protein S17,126,Rv0710.fasta
Rv0711,atsA,806335,2364,arylsulfatase AtsA,618,Rv0711.fasta
Rv0712,,808746,900,hypothetical protein,207,Rv0712.fasta
Rv0713,,809946,942,transmembrane protein,276,Rv0713.fasta
Rv0714,rplN,811373,369,50S ribosomal protein L14,123,Rv0714.fasta
Rv0715,rplX,811742,318,50S ribosomal protein L24,76,Rv0715.fasta
Rv0716,rplE,812059,564,50S ribosomal protein L5,107,Rv0716.fasta
Rv0717,rpsN1,812627,186,30S ribosomal protein S14,57,Rv0717.fasta
Rv0718,rpsH,812976,399,30S ribosomal protein S8,111,Rv0718.fasta
Rv0719,rplF,813398,540,50S ribosomal protein L6,137,Rv0719.fasta
Rv0720,rplR,813940,369,50S ribosomal protein L18,91,Rv0720.fasta
Rv0721,rpsE,814328,663,30S ribosomal protein S5,177,Rv0721.fasta
Rv0722,rpmD,814993,198,50S ribosomal protein L30,60,Rv0722.fasta
Rv0723,rplO,815190,441,50S ribosomal protein L15,115,Rv0723.fasta
Rv0726c,,818537,1104,S-adenosylmethionine-dependent methyltransferase,358,Rv0726c.fasta
Rv0727c,fucA,819843,657,L-fuculose phosphate aldolase FucA,255,Rv0727c.fasta
Rv0728c,serA2,820496,981,D-3-phosphoglycerate dehydrogenase SerA,329,Rv0728c.fasta
Rv0729,xylB,821507,1347,D-xylulose kinase XylB,443,Rv0729.fasta
Rv0730,,822866,729,GCN5-like N-acetyltransferase,211,Rv0730.fasta
Rv0731c,,823683,957,S-adenosylmethionine-dependent methyltransferase,272,Rv0731c.fasta
Rv0732,secY,824800,1326,preprotein translocase SecY,298,Rv0732.fasta
Rv0733,adk,826122,546,adenylate kinase,123,Rv0733.fasta
Rv0734,mapA,826670,801,methionine aminopeptidase,183,Rv0734.fasta
Rv0735,sigL,827543,534,ECF RNA polymerase sigma factor SigL,136,Rv0735.fasta
Rv0736,rslA,828140,753,anti-sigma-L factor RslA,218,Rv0736.fasta
Rv0737,,829207,498,transcriptional regulator,111,Rv0737.fasta
Rv0738,,830062,549,hypothetical protein,178,Rv0738.fasta
Rv0739,,830855,807,hypothetical protein,120,Rv0739.fasta
Rv0743c,,833886,558,hypothetical protein,142,Rv0743c.fasta
Rv0744c,,834440,507,transcriptional regulator,130,Rv0744c.fasta
Rv0749A,,841737,138,hypothetical protein,46,Rv0749A.fasta
Rv0751c,mmsB,842347,885,3-hydroxyisobutyrate dehydrogenase,279,Rv0751c.fasta
Rv0752c,fadE9,843242,1173,acyl-CoA dehydrogenase FadE9,290,Rv0752c.fasta
Rv0753c,mmsA,844421,1533,methylmalonate-semialdehyde dehydrogenase,422,Rv0753c.fasta
Rv0756c,,850741,726,hypothetical protein,191,Rv0756c.fasta
Rv0757,phoP,851608,744,two component system response transcriptional positive regulator PhoP,198,Rv0757.fasta
Rv0758,phoR,852396,1458,two component system response sensor kinase PhoR,753,Rv0758.fasta
Rv0760c,,854267,420,hypothetical protein,115,Rv0760c.fasta
Rv0761c,adhB,854699,1128,alcohol dehydrogenase B,191,Rv0761c.fasta
Rv0762c,,855925,546,hypothetical protein,150,Rv0762c.fasta
Rv0763c,,856473,207,ferredoxin,64,Rv0763c.fasta
Rv0764c,cyp51,856682,1356,lanosterol 14-alpha demethylase,367,Rv0764c.fasta
Rv0765c,,858037,828,oxidoreductase,245,Rv0765c.fasta
Rv0767c,,860069,642,HTH-type transcriptional regulator,187,Rv0767c.fasta
Rv0768,aldA,860912,1470,aldehyde dehydrogenase AldA,391,Rv0768.fasta
Rv0769,,862412,747,oxidoreductase,212,Rv0769.fasta
Rv0770,,863256,888,oxidoreductase,246,Rv0770.fasta
Rv0771,,864140,435,4-carboxymuconolactone decarboxylase,125,Rv0771.fasta
Rv0772,purD,864586,1269,phosphoribosylamine--glycine ligase,295,Rv0772.fasta
Rv0773c,ggtA,865851,1539,bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase,400,Rv0773c.fasta
Rv0774c,,867440,912,hypothetical protein,282,Rv0774c.fasta
Rv0776c,,868984,780,hypothetical protein,215,Rv0776c.fasta
Rv0777,purB,870008,1419,adenylosuccinate lyase PurB,241,Rv0777.fasta
Rv0778,cyp126,871431,1245,cytochrome P450 Cyp126,348,Rv0778.fasta
Rv0779c,,872672,621,transmembrane protein,211,Rv0779c.fasta
Rv0780,purC,873343,894,phosphoribosylaminoimidazole-succinocarboxamide synthase,215,Rv0780.fasta
Rv0783c,emrB,876818,1623,multidrug resistance protein EmrB,520,Rv0783c.fasta
Rv0784,,878638,687,hypothetical protein,202,Rv0784.fasta
Rv0787,,881459,960,hypothetical protein,308,Rv0787.fasta
Rv0787A,,882524,240,hypothetical protein,53,Rv0787A.fasta
Rv0788,purQ,882760,675,phosphoribosylformylglycinamidine synthase,133,Rv0788.fasta
Rv0789c,,883451,600,hypothetical protein,147,Rv0789c.fasta
Rv0790c,,884072,729,hypothetical protein,246,Rv0790c.fasta
Rv0791c,,884797,1044,hypothetical protein,316,Rv0791c.fasta
Rv0798c,cfp29,891472,798,hypothetical protein,167,Rv0798c.fasta
Rv0799c,,892266,1008,hypothetical protein,205,Rv0799c.fasta
Rv0800,pepC,893318,1302,M18 family aminopeptidase,368,Rv0800.fasta
Rv0802c,,894972,657,succinyl-CoA transferase,199,Rv0802c.fasta
Rv0803,purL,895820,2265,phosphoribosylformylglycinamidine synthase 2,521,Rv0803.fasta
Rv0804,,898081,630,hypothetical protein,183,Rv0804.fasta
Rv0806c,cpsY,899732,1599,exopolysaccharide phosphotransferase CpsY,380,Rv0806c.fasta
Rv0807,,901635,390,hypothetical protein,112,Rv0807.fasta
Rv0808,purF,902111,1584,amidophosphoribosyltransferase,372,Rv0808.fasta
Rv0809,purM,903725,1095,phosphoribosylformylglycinamidine cyclo-ligase PurM,227,Rv0809.fasta
Rv0810c,,904905,183,hypothetical protein,52,Rv0810c.fasta
Rv0811c,,905234,1107,hypothetical protein,292,Rv0811c.fasta
Rv0812,,906423,870,amino acid aminotransferase,211,Rv0812.fasta
Rv0813c,,907338,681,hypothetical protein,214,Rv0813c.fasta
Rv0816c,thiX,909611,423,thioredoxin ThiX,151,Rv0816c.fasta
Rv0817c,,910030,813,exported protein,207,Rv0817c.fasta
Rv0818,,910972,768,transcriptional regulator,200,Rv0818.fasta
Rv0819,mshD,911736,948,mycothiol acetyltransferase,228,Rv0819.fasta
Rv0820,phoT,912726,777,phosphate ABC transporter ATP-binding protein PhoT,187,Rv0820.fasta
Rv0821c,phoY2,913558,642,phosphate-transport system transcriptional regulator PhoY2,119,Rv0821c.fasta
Rv0822c,,914257,2055,hypothetical protein,519,Rv0822c.fasta
Rv0824c,desA1,917734,1017,acyl-ACP desaturase DesA,160,Rv0824c.fasta
Rv0825c,,918912,642,hypothetical protein,261,Rv0825c.fasta
Rv0826,,919634,1056,hypothetical protein,261,Rv0826.fasta
Rv0827c,kmtR,920741,393,HTH-type transcriptional regulator KmtR,94,Rv0827c.fasta
Rv0828c,,921191,423,deaminase,120,Rv0828c.fasta
Rv0830,,921970,906,S-adenosylmethionine-dependent methyltransferase,229,Rv0830.fasta
Rv0831c,,922894,816,hypothetical protein,231,Rv0831c.fasta
Rv0835,lpqQ,930953,645,lipoprotein LpqQ,286,Rv0835.fasta
Rv0836c,,932279,654,hypothetical protein,201,Rv0836c.fasta
Rv0837c,,933003,1029,hypothetical protein,278,Rv0837c.fasta
Rv0840c,pip,936457,861,proline iminopeptidase,189,Rv0840c.fasta
Rv0841,,937593,243,transmembrane protein,74,Rv0841.fasta
Rv0853c,pdc,949436,1683,alpha-keto-acid decarboxylase,421,Rv0853c.fasta
Rv0854,,951183,444,hypothetical protein,138,Rv0854.fasta
Rv0855,far,951632,1080,fatty-acid-CoA racemase,329,Rv0855.fasta
Rv0856,,952825,405,hypothetical protein,139,Rv0856.fasta
Rv0857,,953257,474,hypothetical protein,115,Rv0857.fasta
Rv0858c,dapC,953727,1194,N-succinyldiaminopimelate aminotransferase DapC,344,Rv0858c.fasta
Rv0859,,955077,1212,acyltransferase,403,Rv0859.fasta
Rv0860,fadB,956293,2163,fatty oxidation protein FadB,626,Rv0860.fasta
Rv0861c,ercc3,958523,1629,DNA helicase Ercc3,423,Rv0861c.fasta
Rv0862c,,960342,2271,hypothetical protein,630,Rv0862c.fasta
Rv0864,moaC2,962890,504,cyclic pyranopterin monophosphate synthase accessory protein 2,144,Rv0864.fasta
Rv0865,mog,963390,483,molybdopterin biosynthesis protein,93,Rv0865.fasta
